scorer,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,380.4707336425781,336.8404846191406,0.9974755644798279,368.7890625,333.2366027832031,0.9981478452682495,355.7623291015625,328.1758117675781,0.9985371828079224,348.7682189941406,327.9749450683594,0.9975671768188477
1,380.27294921875,336.3528137207031,0.9984520673751831,368.8758544921875,332.5858459472656,0.9983289837837219,355.9618225097656,327.43402099609375,0.999189555644989,350.7244873046875,328.6888732910156,0.9988582134246826
2,378.92572021484375,337.8738098144531,0.9986074566841125,367.7665710449219,331.8252258300781,0.9981550574302673,355.5965881347656,325.6524963378906,0.9995786547660828,349.2287292480469,326.80096435546875,0.9992651343345642
3,380.0446472167969,335.17584228515625,0.9985439777374268,368.7688293457031,329.5892639160156,0.9974552989006042,355.52410888671875,325.4485168457031,0.999599039554596,349.5691833496094,327.6381530761719,0.9993274211883545
4,379.1268615722656,334.42626953125,0.9973961114883423,365.1976013183594,328.7397766113281,0.9973607659339905,352.6297302246094,325.4264831542969,0.9995086193084717,345.1368408203125,328.4159240722656,0.998855471611023
5,379.6191711425781,335.40264892578125,0.9976043105125427,367.3172912597656,329.7577819824219,0.9976754784584045,353.6025085449219,325.49151611328125,0.9995966553688049,347.485595703125,327.2861633300781,0.9993095397949219
6,380.81683349609375,333.6627197265625,0.9973016977310181,367.75836181640625,328.8486328125,0.9962867498397827,354.297119140625,325.2654724121094,0.9995813965797424,347.98944091796875,327.7837219238281,0.9990161657333374
7,378.9764404296875,333.89459228515625,0.9961756467819214,367.9896545410156,329.2726135253906,0.997046172618866,356.3080749511719,326.02618408203125,0.9993896484375,350.0684814453125,327.9341735839844,0.9985376596450806
8,379.8609924316406,334.7919921875,0.9972641468048096,368.2207336425781,330.4411315917969,0.9982835054397583,355.53515625,327.637451171875,0.9991975426673889,349.0019226074219,328.2249450683594,0.9986162185668945
9,380.0438537597656,334.6839294433594,0.9971388578414917,368.5765075683594,329.7550964355469,0.9974639415740967,354.650390625,326.7640075683594,0.9992355108261108,344.86865234375,329.9111633300781,0.9987402558326721
10,381.6032409667969,332.33349609375,0.9982784986495972,368.71771240234375,329.8174133300781,0.9978329539299011,354.6398620605469,327.7111511230469,0.9991734623908997,346.5525207519531,329.2698974609375,0.998812198638916
11,380.6582946777344,333.35162353515625,0.9963805079460144,368.6649475097656,329.80596923828125,0.9982810020446777,355.44964599609375,327.1778564453125,0.9992862343788147,348.85498046875,328.5759582519531,0.9986787438392639
12,379.6399230957031,332.6571960449219,0.9969889521598816,367.4461669921875,329.0440368652344,0.9981467723846436,355.7120361328125,325.4737548828125,0.9996654987335205,348.12872314453125,327.98797607421875,0.99891197681427
13,380.5863037109375,336.2796630859375,0.9975766539573669,368.9674987792969,330.263671875,0.9983385801315308,356.7837219238281,326.45733642578125,0.9994626641273499,350.59991455078125,327.9990539550781,0.9989458918571472
14,380.23291015625,333.6844787597656,0.9960971474647522,367.7908935546875,329.2787780761719,0.9966127276420593,354.6969299316406,326.4311218261719,0.999413251876831,348.10943603515625,328.2337951660156,0.9986774325370789
15,382.38592529296875,333.2467041015625,0.9973345994949341,369.30767822265625,330.43603515625,0.997989296913147,355.7008056640625,327.57928466796875,0.999113142490387,345.5444641113281,329.667724609375,0.9981174468994141
16,379.50567626953125,332.8315124511719,0.9957247972488403,368.13031005859375,328.7860412597656,0.9970663189888,355.17437744140625,326.57861328125,0.9994165897369385,348.1379699707031,328.423583984375,0.9983572363853455
17,379.6386413574219,333.8096923828125,0.9956907629966736,368.2706298828125,329.9639587402344,0.9982655644416809,355.54473876953125,326.6680603027344,0.9995337724685669,348.3681335449219,327.62371826171875,0.99883633852005
18,379.7432556152344,332.902099609375,0.9960101842880249,368.1163330078125,328.9064025878906,0.9969327449798584,355.2692565917969,326.291015625,0.9995649456977844,349.2140197753906,327.94012451171875,0.9991132616996765
19,381.34051513671875,334.4444580078125,0.9966917037963867,368.3734130859375,329.9673156738281,0.9983172416687012,355.50567626953125,325.2720642089844,0.9996640682220459,348.6261901855469,327.3194580078125,0.9992713332176208
20,380.669677734375,334.4761047363281,0.9973165392875671,369.3208312988281,330.52783203125,0.9986591339111328,355.7442321777344,327.4203796386719,0.9992744326591492,348.69598388671875,328.1668701171875,0.998744010925293
21,379.79949951171875,336.4071960449219,0.9976200461387634,368.7166748046875,331.0500793457031,0.9989494681358337,356.3529052734375,325.74444580078125,0.9996102452278137,349.7347717285156,327.05291748046875,0.9994076490402222
22,380.4055480957031,334.8273010253906,0.9964156150817871,368.5211181640625,330.2509460449219,0.9979099631309509,354.9361572265625,325.8683776855469,0.9995280504226685,348.2048645019531,327.4022521972656,0.999053418636322
23,381.3287353515625,333.3088073730469,0.9957113265991211,369.0338439941406,331.49664306640625,0.9980987906455994,355.0544738769531,326.9444274902344,0.9992400407791138,348.21759033203125,327.8541564941406,0.9987919926643372
24,378.7893981933594,333.8210144042969,0.9953752160072327,367.2574768066406,328.8954772949219,0.9965294003486633,353.48675537109375,325.8390808105469,0.9994875192642212,347.3135681152344,327.7391052246094,0.9987567663192749
25,380.49188232421875,334.8076477050781,0.9968722462654114,368.1813049316406,330.0541687011719,0.9976128339767456,354.753662109375,325.8429870605469,0.9995896220207214,348.5102233886719,327.25445556640625,0.9993867874145508
26,380.02496337890625,335.6618347167969,0.9982001781463623,368.6966247558594,331.0332946777344,0.9982225298881531,355.2684326171875,325.7251892089844,0.9994902610778809,348.262939453125,327.34381103515625,0.9991045594215393
27,380.65313720703125,336.4171142578125,0.9983593821525574,368.361083984375,330.6691589355469,0.9974921941757202,354.9397277832031,325.5558166503906,0.9994876384735107,348.2920227050781,327.24169921875,0.9989734888076782
28,378.7712707519531,336.5024719238281,0.9985015392303467,367.57464599609375,331.30859375,0.9979833364486694,354.0617370605469,325.81768798828125,0.9995487332344055,347.914306640625,326.756103515625,0.9993545413017273
29,379.19677734375,335.9430236816406,0.9985703229904175,368.003662109375,330.3588562011719,0.9980183839797974,355.1546936035156,324.83673095703125,0.9996672868728638,349.234130859375,326.5755920410156,0.9993335604667664
30,378.9508972167969,335.793701171875,0.9978825449943542,367.86981201171875,331.0882873535156,0.9984714388847351,355.9986877441406,326.0591125488281,0.9996376037597656,349.8603820800781,327.38330078125,0.999144434928894
31,379.530029296875,336.2572937011719,0.9973658919334412,367.87744140625,330.22943115234375,0.9977148771286011,354.7988586425781,324.620849609375,0.9997676014900208,348.6665344238281,327.040283203125,0.9994962215423584
32,380.6878967285156,334.78375244140625,0.9971126317977905,368.9111328125,331.0713806152344,0.9982500672340393,355.6568298339844,325.6387939453125,0.9996088147163391,348.4446105957031,326.55096435546875,0.9992608428001404
33,380.2555847167969,334.77557373046875,0.9958494901657104,367.6658630371094,330.5421447753906,0.9980473518371582,354.8524475097656,325.4736022949219,0.9996042847633362,347.7563171386719,326.605712890625,0.9988344311714172
34,381.3626403808594,333.7994384765625,0.9976986050605774,368.43951416015625,330.47265625,0.9985880255699158,355.5010070800781,325.27362060546875,0.9997311234474182,349.1330261230469,326.6263122558594,0.9995014667510986
35,381.39520263671875,333.828125,0.9969717264175415,368.7927551269531,331.3450927734375,0.9980630278587341,355.7151794433594,327.0293884277344,0.9989646673202515,349.0367431640625,327.8623962402344,0.9983617663383484
36,380.73724365234375,334.3517150878906,0.9979119896888733,368.0838623046875,329.8201904296875,0.9979994893074036,353.60931396484375,324.98809814453125,0.9996436834335327,346.89178466796875,326.97119140625,0.999281108379364
37,381.56939697265625,333.44012451171875,0.9962266683578491,368.999267578125,330.6029052734375,0.9980233907699585,355.6799621582031,326.05303955078125,0.9994450211524963,348.703857421875,327.28460693359375,0.9991493225097656
38,381.1626281738281,333.7064208984375,0.9970791339874268,368.6955261230469,330.01312255859375,0.9982163310050964,355.7347717285156,325.8006896972656,0.9996247291564941,348.8834533691406,327.3563537597656,0.9993626475334167
39,381.683837890625,333.31707763671875,0.9971074461936951,368.748291015625,329.6794738769531,0.9977458119392395,355.7645568847656,325.3077087402344,0.9996028542518616,348.5590515136719,326.75189208984375,0.9994068145751953
40,383.0876159667969,332.8377990722656,0.9984506368637085,369.9777526855469,329.88641357421875,0.9983482360839844,357.2317810058594,326.9713439941406,0.9994589686393738,349.26470947265625,328.132568359375,0.9989868998527527
41,382.0257873535156,332.12255859375,0.9977571368217468,368.50677490234375,329.54937744140625,0.9977676868438721,355.3253173828125,326.7330627441406,0.9992495179176331,349.21826171875,328.0928955078125,0.9985615611076355
